Date,Flux,Nb appels reçus,nb_ae,nb_ae_tr90,DMR,dmt,Year,Mois,Semaine,Year_Sem,jsem,creneau,BTS,cs_ae_tr90,cs_ae,cs_tr90
2022-06-15,VALIDATION_CR,9,9,7,47,313,2022,6,24,2022_24,Mercredi,08:00,True,7,9,77.77777777777779
2022-06-15,VALIDATION_CR,37,37,36,21,304,2022,6,24,2022_24,Mercredi,08:30,True,43,46,93.47826086956522
2022-06-15,VALIDATION_CR,62,62,43,75,301,2022,6,24,2022_24,Mercredi,09:00,True,86,108,79.62962962962963
2022-06-15,VALIDATION_CR,61,58,40,72,368,2022,6,24,2022_24,Mercredi,09:30,True,126,166,75.90361445783132
2022-06-15,VALIDATION_CR,41,41,23,87,303,2022,6,24,2022_24,Mercredi,10:00,True,149,207,71.98067632850241
2022-06-15,VALIDATION_CR,50,50,34,66,347,2022,6,24,2022_24,Mercredi,10:30,True,183,257,71.20622568093385
2022-06-15,VALIDATION_CR,70,69,67,33,305,2022,6,24,2022_24,Mercredi,11:00,True,250,326,76.68711656441718
2022-06-15,VALIDATION_CR,62,61,59,31,301,2022,6,24,2022_24,Mercredi,11:30,True,309,387,79.84496124031007
2022-06-15,VALIDATION_CR,48,48,18,113,353,2022,6,24,2022_24,Mercredi,12:00,True,327,435,75.17241379310344
2022-06-15,VALIDATION_CR,45,44,28,72,328,2022,6,24,2022_24,Mercredi,12:30,True,355,479,74.11273486430062
2022-06-15,VALIDATION_CR,54,53,19,103,311,2022,6,24,2022_24,Mercredi,13:00,True,374,532,70.30075187969925
2022-06-15,VALIDATION_CR,46,46,18,109,336,2022,6,24,2022_24,Mercredi,13:30,True,392,578,67.82006920415225
2022-06-15,VALIDATION_CR,38,37,15,123,335,2022,6,24,2022_24,Mercredi,14:00,True,407,615,66.17886178861788
2022-06-15,VALIDATION_CR,40,39,16,100,352,2022,6,24,2022_24,Mercredi,14:30,True,423,654,64.6788990825688
2022-06-15,VALIDATION_CR,36,35,26,63,332,2022,6,24,2022_24,Mercredi,15:00,True,449,689,65.16690856313497
2022-06-15,VALIDATION_CR,44,44,1,236,312,2022,6,24,2022_24,Mercredi,15:30,True,450,733,61.39154160982264
2022-06-15,VALIDATION_CR,71,71,30,156,333,2022,6,24,2022_24,Mercredi,16:00,True,480,804,59.70149253731343
2022-06-15,VALIDATION_CR,56,55,51,39,325,2022,6,24,2022_24,Mercredi,16:30,True,531,859,61.81606519208381
2022-06-15,VALIDATION_CR,43,43,10,144,346,2022,6,24,2022_24,Mercredi,17:00,True,541,902,59.97782705099778
2022-06-15,VALIDATION_CR,38,36,16,109,348,2022,6,24,2022_24,Mercredi,17:30,True,557,938,59.3816631130064
2022-06-15,VALIDATION_CR,43,42,17,151,323,2022,6,24,2022_24,Mercredi,18:00,True,574,980,58.57142857142858
2022-06-15,VALIDATION_CR,68,68,3,215,293,2022,6,24,2022_24,Mercredi,18:30,True,577,1048,55.05725190839694
2022-06-15,VALIDATION_CR,38,37,9,213,286,2022,6,24,2022_24,Mercredi,19:00,True,586,1085,54.00921658986175
2022-06-15,VALIDATION_CR,9,9,9,10,292,2022,6,24,2022_24,Mercredi,19:30,True,595,1094,54.38756855575868
